GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_251: 65 years and over
59153160,DA,59153160,0.0721,739,488,452,60
59153161,DA,59153161,0.0425,551,319,309,55
59153162,DA,59153162,0.0296,528,327,308,40
59153163,DA,59153163,0.0819,396,282,262,40
59153164,DA,59153164,0.0992,2058,1425,1365,110
59153165,DA,59153165,0.0327,499,314,303,90
59153166,DA,59153166,0.1105,1072,526,503,120
59153167,DA,59153167,0.1695,606,232,211,70
59153168,DA,59153168,0.0299,1139,543,524,225
59153171,DA,59153171,0.0675,744,531,491,120
59153172,DA,59153172,0.0207,571,408,371,85
59153181,DA,59153181,0.8193,977,563,521,125
59153182,DA,59153182,0.0149,429,244,224,45
59153183,DA,59153183,0.0786,647,295,252,65
59153184,DA,59153184,0.0771,677,407,383,205
59153185,DA,59153185,0.0526,458,237,219,115
59153186,DA,59153186,0.0696,472,244,238,75
59153187,DA,59153187,0.0563,889,376,365,115
59153188,DA,59153188,0.1629,225,85,85,215
59153189,DA,59153189,0.2238,506,263,233,75
59153190,DA,59153190,0.201,657,403,375,60
59153191,DA,59153191,0.0564,505,264,242,45
59153192,DA,59153192,0.0302,488,358,335,165
59153193,DA,59153193,0.049,720,402,391,60
59153194,DA,59153194,0.0199,361,226,217,40
59153195,DA,59153195,0.0203,371,238,225,45
59153196,DA,59153196,0.0322,499,257,253,40
59153197,DA,59153197,0.7198,476,358,315,40
59153198,DA,59153198,0.0704,527,321,304,50
59153199,DA,59153199,0.0286,453,289,280,55
59153200,DA,59153200,0.129,669,340,309,55
59153201,DA,59153201,0.0618,556,362,331,50
59153202,DA,59153202,0.0278,460,298,277,35
59153203,DA,59153203,0.0285,554,340,317,80
59153204,DA,59153204,0.0303,404,253,242,60
59153205,DA,59153205,0.0268,388,249,233,50
59153206,DA,59153206,0.0339,569,382,372,80
59153207,DA,59153207,0.0403,486,320,311,95
59153208,DA,59153208,0.2498,611,377,363,75
59153209,DA,59153209,0.0721,470,271,258,70
59153210,DA,59153210,0.0983,515,211,199,80
59153211,DA,59153211,0.086,462,190,177,85
59153212,DA,59153212,0.0834,425,172,160,85
59153213,DA,59153213,0.1266,596,276,252,120
59153214,DA,59153214,0.2083,658,281,256,120
59153215,DA,59153215,1.4464,990,458,434,125
59153216,DA,59153216,0.1381,789,367,339,120
59153217,DA,59153217,0.1155,545,230,214,85
59153218,DA,59153218,0.1055,478,210,200,95
59153219,DA,59153219,0.0459,513,254,240,65
59153220,DA,59153220,0.0723,409,171,168,70
59153221,DA,59153221,0.0779,607,260,248,105
59153222,DA,59153222,0.1298,679,274,261,105
59153223,DA,59153223,0.1278,483,234,223,65
59153224,DA,59153224,0.1382,791,322,311,140
59153225,DA,59153225,0.1155,584,214,204,100
59153226,DA,59153226,0.1056,634,250,238,115
59153227,DA,59153227,0.1044,697,296,272,130
59153228,DA,59153228,0.0883,508,252,196,115
59153229,DA,59153229,0.0796,574,217,202,105
59153230,DA,59153230,0.178,748,297,275,110
59153231,DA,59153231,0.0564,477,253,239,40
59153232,DA,59153232,0.1856,561,280,266,50
59153246,DA,59153246,0.0174,1082,695,631,60
59153249,DA,59153249,0.3108,722,269,252,115
59153250,DA,59153250,0.7024,493,218,201,80
59153251,DA,59153251,0.1629,877,466,396,210
59153252,DA,59153252,0.1214,688,278,259,110
59153253,DA,59153253,0.3563,437,187,169,105
59153254,DA,59153254,0.2499,387,173,157,80
59153255,DA,59153255,0.2003,637,264,236,110
59153256,DA,59153256,0.0885,548,297,263,115
59153257,DA,59153257,0.0897,619,331,308,110
59153258,DA,59153258,0.0898,606,338,308,75
59153259,DA,59153259,0.0341,532,321,313,50
59153261,DA,59153261,0.7204,664,368,345,275
59153262,DA,59153262,0.0653,869,454,438,245
59153263,DA,59153263,0.2,652,193,163,215
59153264,DA,59153264,0.0861,405,152,140,105
59153265,DA,59153265,0.106,597,209,199,125
59153266,DA,59153266,0.2365,836,306,300,140
59153267,DA,59153267,0.1731,697,244,237,145
59153268,DA,59153268,0.0994,571,210,196,80
59153269,DA,59153269,0.1231,418,143,137,85
59153270,DA,59153270,0.0884,510,177,174,95
59153271,DA,59153271,0.1378,570,220,208,95
59153272,DA,59153272,0.0921,539,219,201,120
59153273,DA,59153273,0.1127,671,256,236,115
59153274,DA,59153274,0.1129,675,274,267,105
